Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  Function: ~emitOne events.js:114:17
      3    0.0%    0.0%  Function: ~emitErrorNT internal/streams/destroy.js:63:21
      3    0.0%    0.0%  Function: ~emit events.js:156:44
      3    0.0%    0.0%  Function: ~doWrite _stream_writable.js:379:17
      3    0.0%    0.0%  Function: ~destroy internal/streams/destroy.js:4:17
      3    0.0%    0.0%  Function: ~cloneObject C:\node\cryptodev\node_modules\mquery\lib\utils.js:65:62
      3    0.0%    0.0%  Function: ~basename path.js:831:30
      3    0.0%    0.0%  Function: ~addRequest _http_agent.js:140:49
      3    0.0%    0.0%  Function: ~_storeHeader _http_outgoing.js:290:22
      3    0.0%    0.0%  Function: ~_parseHex C:\node\cryptodev\node_modules\bn.js\lib\bn.js:210:47
      3    0.0%    0.0%  Function: ~_makeLong path.js:688:32
      3    0.0%    0.0%  Function: ~_flushOutput _http_outgoing.js:834:63
      3    0.0%    0.0%  Function: ~_exceptionWithHostPort util.js:1031:32
      3    0.0%    0.0%  Function: ~TLSSocket._init _tls_wrap.js:426:37
      3    0.0%    0.0%  Function: ~TLSSocket _tls_wrap.js:265:19
      3    0.0%    0.0%  Function: ~Socket._getsockname net.js:675:41
      3    0.0%    0.0%  Function: ~Socket net.js:175:16
      3    0.0%    0.0%  Function: ~Server.cursor C:\node\cryptodev\node_modules\mongodb-core\lib\topologies\server.js:859:35
      3    0.0%    0.0%  Function: ~SchemaType._isRef C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:965:29
      3    0.0%    0.0%  Function: ~Schema.eachPath C:\node\cryptodev\node_modules\mongoose\lib\schema.js:621:37
      3    0.0%    0.0%  Function: ~ReadableState _stream_readable.js:58:23
      3    0.0%    0.0%  Function: ~Query._optionsForExec C:\node\cryptodev\node_modules\mongoose\lib\query.js:1145:43
      3    0.0%    0.0%  Function: ~Long.negate C:\node\cryptodev\node_modules\bson\lib\bson\long.js:330:33
      3    0.0%    0.0%  Function: ~Logger C:\node\cryptodev\node_modules\mongodb-core\lib\connection\logger.js:24:22
      3    0.0%    0.0%  Function: ~Kareem.execPre C:\node\cryptodev\node_modules\kareem\index.js:8:36
      3    0.0%    0.0%  Function: ~Cursor.limit C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:665:34
      3    0.0%    0.0%  Function: ~Cursor C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:73:22
      3    0.0%    0.0%  Function: ~ClientRequest _http_client.js:79:23
      3    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongoose\lib\queryhelpers.js:164:29
      3    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:264:45
      3    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:60:24
      3    0.0%    0.0%  Builtin: TypedArrayConstructByArrayBuffer
      3    0.0%    0.0%  Builtin: ResumeGeneratorTrampoline
      3    0.0%    0.0%  Builtin: InterpreterPushArgsThenCallFunction
      3    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      3    0.0%    0.0%  Builtin: FastArrayPop
      3    0.0%    0.0%  Builtin: CallVarargs
      3    0.0%    0.0%  Builtin: ArrayPrototypeValues
      3    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
      2    0.0%    0.0%  Stub: StoreFastElementStub
      2    0.0%    0.0%  Stub: RecordWriteStub {7}
      2    0.0%    0.0%  Stub: RecordWriteStub {6}
      2    0.0%    0.0%  Stub: RecordWriteStub {4}
      2    0.0%    0.0%  Stub: RecordWriteStub {3}
      2    0.0%    0.0%  Stub: RecordWriteStub {35}
      2    0.0%    0.0%  Stub: RecordWriteStub {23}
      2    0.0%    0.0%  Stub: RecordWriteStub {22}
      2    0.0%    0.0%  Stub: RecordWriteStub {20}
      2    0.0%    0.0%  Stub: RecordWriteStub {19}
      2    0.0%    0.0%  Stub: RecordWriteStub {15}
      2    0.0%    0.0%  Stub: RecordWriteStub
      2    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
      2    0.0%    0.0%  RegExp: ^(u?int)([0-9]*)$
      2    0.0%    0.0%  LazyCompile: *waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
      2    0.0%    0.0%  LazyCompile: *toString C:\node\cryptodev\node_modules\bn.js\lib\bn.js:429:45
      2    0.0%    0.0%  LazyCompile: *socketCloseListener _http_client.js:337:29
      2    0.0%    0.0%  LazyCompile: *setTimeout timers.js:425:20
      2    0.0%    0.0%  LazyCompile: *setRequestHeader C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:192:35
      2    0.0%    0.0%  LazyCompile: *serializeNumber C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:59:31
      2    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      2    0.0%    0.0%  LazyCompile: *processImmediate timers.js:697:26
      2    0.0%    0.0%  LazyCompile: *normalizeStringWin32 path.js:33:30
      2    0.0%    0.0%  LazyCompile: *initRead _tls_wrap.js:246:18
      2    0.0%    0.0%  LazyCompile: *hexlify C:\node\cryptodev\node_modules\ethers-utils\convert.js:116:17
      2    0.0%    0.0%  LazyCompile: *getTransaction C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:44:24
      2    0.0%    0.0%  LazyCompile: *getNewAsyncId net.js:64:23
      2    0.0%    0.0%  LazyCompile: *get C:\node\cryptodev\node_modules\mongodb\lib\db.js:247:16
      2    0.0%    0.0%  LazyCompile: *format util.js:182:16
      2    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:379:17
      2    0.0%    0.0%  LazyCompile: *applyPaths C:\node\cryptodev\node_modules\mongoose\lib\queryhelpers.js:82:41
      2    0.0%    0.0%  LazyCompile: *analyzeSchema C:\node\cryptodev\node_modules\mongoose\lib\queryhelpers.js:155:31
      2    0.0%    0.0%  LazyCompile: *abort C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:539:24
      2    0.0%    0.0%  LazyCompile: *_onceWrap events.js:330:19
      2    0.0%    0.0%  LazyCompile: *_addListener events.js:233:22
      2    0.0%    0.0%  LazyCompile: *StackPush native array.js:80:19
      2    0.0%    0.0%  LazyCompile: *SchemaType._applySetters C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:663:46
      2    0.0%    0.0%  LazyCompile: *Response.parse C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:436:36
      2    0.0%    0.0%  LazyCompile: *Query C:\node\cryptodev\node_modules\mongoose\lib\query.js:45:15
      2    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:68:25
      2    0.0%    0.0%  LazyCompile: *Long.lessThanOrEqual C:\node\cryptodev\node_modules\bson\lib\bson\long.js:269:42
      2    0.0%    0.0%  LazyCompile: *Long.add C:\node\cryptodev\node_modules\bson\lib\bson\long.js:345:30
      2    0.0%    0.0%  LazyCompile: *Keccak.toString.Keccak.hex C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:184:63
      2    0.0%    0.0%  LazyCompile: *Join native array.js:120:14
      2    0.0%    0.0%  LazyCompile: *Connection.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:704:38
      2    0.0%    0.0%  LazyCompile: *Buffer.write buffer.js:850:34
      2    0.0%    0.0%  LazyCompile: *BigNumber C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:14:19
      2    0.0%    0.0%  LazyCompile: *Agent https.js:128:15
      2    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
      2    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:323:18
      2    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:547:32
      2    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {2}
      2    0.0%    0.0%  Function: ~validateHost _http_client.js:71:22
      2    0.0%    0.0%  Function: ~utils.promiseOrCallback C:\node\cryptodev\node_modules\mongoose\lib\query.js:2948:44
      2    0.0%    0.0%  Function: ~toTwos C:\node\cryptodev\node_modules\bn.js\lib\bn.js:657:41
      2    0.0%    0.0%  Function: ~toString C:\node\cryptodev\node_modules\bn.js\lib\bn.js:429:45
      2    0.0%    0.0%  Function: ~strip C:\node\cryptodev\node_modules\bn.js\lib\bn.js:333:39
      2    0.0%    0.0%  Function: ~split C:\node\cryptodev\node_modules\bn.js\lib\bn.js:2997:41
      2    0.0%    0.0%  Function: ~spliceOne internal/util.js:270:19
      2    0.0%    0.0%  Function: ~socketOnData _http_client.js:433:22
      2    0.0%    0.0%  Function: ~setTimeout timers.js:425:20
      2    0.0%    0.0%  Function: ~setState C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:605:26
      2    0.0%    0.0%  Function: ~serializeCommands C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1044:33
      2    0.0%    0.0%  Function: ~send C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:267:23
      2    0.0%    0.0%  Function: ~resolve path.js:193:28
      2    0.0%    0.0%  Function: ~request.onreadystatechange C:\node\cryptodev\node_modules\ethers-providers\provider.js:557:46
      2    0.0%    0.0%  Function: ~request http.js:37:17
      2    0.0%    0.0%  Function: ~pack C:\node\cryptodev\node_modules\ethers-contracts\interface.js:264:14
      2    0.0%    0.0%  Function: ~normalizeArgs net.js:117:23
      2    0.0%    0.0%  Function: ~isHexString C:\node\cryptodev\node_modules\ethers-utils\convert.js:106:21
      2    0.0%    0.0%  Function: ~handleCallback C:\node\cryptodev\node_modules\mongodb\lib\utils.js:123:30
      2    0.0%    0.0%  Function: ~getTransaction C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:44:24
      2    0.0%    0.0%  Function: ~getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
      2    0.0%    0.0%  Function: ~fromString buffer.js:296:20
      2    0.0%    0.0%  Function: ~from native array.js:905:38
      2    0.0%    0.0%  Function: ~freeParser _http_common.js:203:20
      2    0.0%    0.0%  Function: ~free internal/freelist.js:17:7
      2    0.0%    0.0%  Function: ~findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
      2    0.0%    0.0%  Function: ~exports.convertALPNProtocols tls.js:81:40
      2    0.0%    0.0%  Function: ~errorHandler C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:458:47
      2    0.0%    0.0%  Function: ~encode C:\node\cryptodev\node_modules\ethers-contracts\interface.js:432:25
      2    0.0%    0.0%  Function: ~createSingleTimeout timers.js:454:29
      2    0.0%    0.0%  Function: ~createConnection https.js:82:26
      2    0.0%    0.0%  Function: ~clearBuffer _stream_writable.js:469:21
      2    0.0%    0.0%  Function: ~addMethod C:\node\cryptodev\node_modules\ethers-contracts\interface.js:575:23
      2    0.0%    0.0%  Function: ~_onceWrap events.js:330:19
      2    0.0%    0.0%  Function: ~_flush _http_outgoing.js:816:51
      2    0.0%    0.0%  Function: ~_cb C:\node\cryptodev\node_modules\kareem\index.js:278:17
      2    0.0%    0.0%  Function: ~WritableState _stream_writable.js:41:23
      2    0.0%    0.0%  Function: ~Writable _stream_writable.js:194:18
      2    0.0%    0.0%  Function: ~Uint8ArrayConstructByTypedArray native typedarray.js:144:41
      2    0.0%    0.0%  Function: ~Uint8Array native typedarray.js:158:31
      2    0.0%    0.0%  Function: ~TLSSocket._wrapHandle _tls_wrap.js:370:43
      2    0.0%    0.0%  Function: ~StackPush native array.js:80:19
      2    0.0%    0.0%  Function: ~Socket._destroy net.js:534:37
      2    0.0%    0.0%  Function: ~SecureContext _tls_common.js:34:23
      2    0.0%    0.0%  Function: ~SchemaType.castForQueryWrapper C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:1033:52
      2    0.0%    0.0%  Function: ~SchemaString.castForQuery C:\node\cryptodev\node_modules\mongoose\lib\schema\string.js:501:47
      2    0.0%    0.0%  Function: ~Response.parse C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:436:36
      2    0.0%    0.0%  Function: ~Query.setOptions C:\node\cryptodev\node_modules\mongoose\lib\query.js:998:38
      2    0.0%    0.0%  Function: ~Query C:\node\cryptodev\node_modules\mquery\lib\mquery.js:27:16
      2    0.0%    0.0%  Function: ~Query C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:31:21
      2    0.0%    0.0%  Function: ~OutgoingMessage _http_outgoing.js:68:25
      2    0.0%    0.0%  Function: ~Module._resolveLookupPaths module.js:337:38
      2    0.0%    0.0%  Function: ~MapFindEntry native collection.js:39:22
      2    0.0%    0.0%  Function: ~Long.fromNumber C:\node\cryptodev\node_modules\bson\lib\bson\long.js:701:27
      2    0.0%    0.0%  Function: ~Keccak.toString.Keccak.hex C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:184:63
      2    0.0%    0.0%  Function: ~Join native array.js:120:14
      2    0.0%    0.0%  Function: ~Immediate timers.js:803:19
      2    0.0%    0.0%  Function: ~EventEmitter.init events.js:62:29
      2    0.0%    0.0%  Function: ~Document.init C:\node\cryptodev\node_modules\mongoose\lib\document.js:318:35
      2    0.0%    0.0%  Function: ~Document.get C:\node\cryptodev\node_modules\mongoose\lib\document.js:958:34
      2    0.0%    0.0%  Function: ~Document C:\node\cryptodev\node_modules\mongoose\lib\document.js:47:18
      2    0.0%    0.0%  Function: ~Cursor C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:101:22
      2    0.0%    0.0%  Function: ~Connection.isConnected C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:760:44
      2    0.0%    0.0%  Function: ~Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
      2    0.0%    0.0%  Function: ~Collection.doQueue C:\node\cryptodev\node_modules\mongoose\lib\collection.js:124:40
      2    0.0%    0.0%  Function: ~Buffer.copy buffer.js:599:33
      2    0.0%    0.0%  Function: ~Buffer buffer.js:147:16
      2    0.0%    0.0%  Function: ~<anonymous> _tls_wrap.js:403:28
      2    0.0%    0.0%  Function: ~<anonymous> _http_common.js:170:53
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mquery\lib\utils.js:111:19
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongoose\lib\utils.js:222:16
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1355:23
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:552:34
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:289:65
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:134:37
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:823:47
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:818:66
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:547:32
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\fallback-provider.js:40:69
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:610:37
      2    0.0%    0.0%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:82:44
      2    0.0%    0.0%  Builtin: ToBoolean
      2    0.0%    0.0%  Builtin: RegExpSplit
      2    0.0%    0.0%  Builtin: NonNumberToNumber
      2    0.0%    0.0%  Builtin: MapLookupHashIndex
      2    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      2    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCallFunction
      2    0.0%    0.0%  Builtin: GreaterThan
      2    0.0%    0.0%  Builtin: GlobalIsFinite
      2    0.0%    0.0%  Builtin: FastFunctionPrototypeBind
      2    0.0%    0.0%  Builtin: Divide
      2    0.0%    0.0%  Builtin: CreateGeneratorObject
      2    0.0%    0.0%  Builtin: CallWithArrayLike
      2    0.0%    0.0%  Builtin: CallBoundFunction
      1    0.0%    0.0%  Stub: RecordWriteStub {9}
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {42}
      1    0.0%    0.0%  Stub: RecordWriteStub {41}
      1    0.0%    0.0%  Stub: RecordWriteStub {40}
      1    0.0%    0.0%  Stub: RecordWriteStub {39}
      1    0.0%    0.0%  Stub: RecordWriteStub {38}
      1    0.0%    0.0%  Stub: RecordWriteStub {37}
      1    0.0%    0.0%  Stub: RecordWriteStub {36}
      1    0.0%    0.0%  Stub: RecordWriteStub {34}
      1    0.0%    0.0%  Stub: RecordWriteStub {33}
      1    0.0%    0.0%  Stub: RecordWriteStub {32}
      1    0.0%    0.0%  Stub: RecordWriteStub {31}
      1    0.0%    0.0%  Stub: RecordWriteStub {30}
      1    0.0%    0.0%  Stub: RecordWriteStub {29}
      1    0.0%    0.0%  Stub: RecordWriteStub {28}
      1    0.0%    0.0%  Stub: RecordWriteStub {27}
      1    0.0%    0.0%  Stub: RecordWriteStub {26}
      1    0.0%    0.0%  Stub: RecordWriteStub {25}
      1    0.0%    0.0%  Stub: RecordWriteStub {24}
      1    0.0%    0.0%  Stub: RecordWriteStub {21}
      1    0.0%    0.0%  Stub: RecordWriteStub {18}
      1    0.0%    0.0%  Stub: RecordWriteStub {14}
      1    0.0%    0.0%  Stub: RecordWriteStub {13}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: DoubleToIStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub {4}
      1    0.0%    0.0%  Stub: CallApiCallbackStub
      1    0.0%    0.0%  Script: ~<anonymous> C:\node\cryptodev\node_modules\vary\index.js:1:1
      1    0.0%    0.0%  RegExp: ^[a-z0-9.+-]+: {1}
      1    0.0%    0.0%  RegExp: [\\u0000-\\u0020]
      1    0.0%    0.0%  RegExp: :[0-9]*$ {1}
      1    0.0%    0.0%  RegExp: :[0-9]*$
      1    0.0%    0.0%  RegExp: :.*$
      1    0.0%    0.0%  LazyCompile: *utils.promiseOrCallback C:\node\cryptodev\node_modules\mongoose\lib\query.js:2948:44
      1    0.0%    0.0%  LazyCompile: *tryOnTimeout timers.js:302:22
      1    0.0%    0.0%  LazyCompile: *socketErrorListener _http_client.js:381:29
      1    0.0%    0.0%  LazyCompile: *slice buffer.js:961:40
      1    0.0%    0.0%  LazyCompile: *setCursorNotified C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:551:33
      1    0.0%    0.0%  LazyCompile: *serializeString C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:37:31
      1    0.0%    0.0%  LazyCompile: *serializeCommands C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1044:33
      1    0.0%    0.0%  LazyCompile: *serializeBoolean C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:139:32
      1    0.0%    0.0%  LazyCompile: *request.onreadystatechange C:\node\cryptodev\node_modules\ethers-providers\provider.js:557:46
      1    0.0%    0.0%  LazyCompile: *removeListener events.js:355:28
      1    0.0%    0.0%  LazyCompile: *padZeros C:\node\cryptodev\node_modules\ethers-utils\convert.js:95:18
      1    0.0%    0.0%  LazyCompile: *pack C:\node\cryptodev\node_modules\ethers-contracts\interface.js:264:14
      1    0.0%    0.0%  LazyCompile: *once events.js:338:44
      1    0.0%    0.0%  LazyCompile: *onCorkedFinish _stream_writable.js:623:24
      1    0.0%    0.0%  LazyCompile: *normalizeArgs net.js:117:23
      1    0.0%    0.0%  LazyCompile: *nextObject C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:733:26
      1    0.0%    0.0%  LazyCompile: *next C:\node\cryptodev\node_modules\ethers-providers\fallback-provider.js:44:22
      1    0.0%    0.0%  LazyCompile: *join native array.js:288:46
      1    0.0%    0.0%  LazyCompile: *insert timers.js:158:16
      1    0.0%    0.0%  LazyCompile: *init C:\node\cryptodev\node_modules\mongoose\lib\document.js:375:14
      1    0.0%    0.0%  LazyCompile: *getTransactionString C:\node\cryptodev\node_modules\ethers-providers\etherscan-provider.js:22:30
      1    0.0%    0.0%  LazyCompile: *get C:\node\cryptodev\node_modules\mongodb-core\lib\topologies\server.js:209:16
      1    0.0%    0.0%  LazyCompile: *exports.convertNPNProtocols tls.js:71:39
      1    0.0%    0.0%  LazyCompile: *exports.convertALPNProtocols tls.js:81:40
      1    0.0%    0.0%  LazyCompile: *encode C:\node\cryptodev\node_modules\ethers-contracts\interface.js:432:25
      1    0.0%    0.0%  LazyCompile: *emitOne events.js:114:17
      1    0.0%    0.0%  LazyCompile: *emitMessageHandler C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:283:34
      1    0.0%    0.0%  LazyCompile: *emitLookup net.js:1087:44
      1    0.0%    0.0%  LazyCompile: *done _tls_wrap.js:347:16
      1    0.0%    0.0%  LazyCompile: *createImmediate timers.js:856:25
      1    0.0%    0.0%  LazyCompile: *commands.forEach.command C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1220:22
      1    0.0%    0.0%  LazyCompile: *clone C:\node\cryptodev\node_modules\mquery\lib\utils.js:18:44
      1    0.0%    0.0%  LazyCompile: *clone C:\node\cryptodev\node_modules\bn.js\lib\bn.js:319:39
      1    0.0%    0.0%  LazyCompile: *args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
      1    0.0%    0.0%  LazyCompile: *args internal/util/types.js:11:10
      1    0.0%    0.0%  LazyCompile: *alloc internal/freelist.js:11:8
      1    0.0%    0.0%  LazyCompile: *alignSize C:\node\cryptodev\node_modules\ethers-contracts\interface.js:260:19
      1    0.0%    0.0%  LazyCompile: *acquire C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:147:10
      1    0.0%    0.0%  LazyCompile: *_unsetCastError C:\node\cryptodev\node_modules\mongoose\lib\query.js:1240:59
      1    0.0%    0.0%  LazyCompile: *_cb C:\node\cryptodev\node_modules\kareem\index.js:278:17
      1    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:264:36
      1    0.0%    0.0%  LazyCompile: *Uint8ArrayConstructByTypedArray native typedarray.js:144:41
      1    0.0%    0.0%  LazyCompile: *StackPop native array.js:83:18
      1    0.0%    0.0%  LazyCompile: *StackHas native array.js:86:18
      1    0.0%    0.0%  LazyCompile: *Socket.read net.js:360:33
      1    0.0%    0.0%  LazyCompile: *Socket._writev net.js:780:36
      1    0.0%    0.0%  LazyCompile: *Socket._write net.js:785:35
      1    0.0%    0.0%  LazyCompile: *SecureContext _tls_common.js:34:23
      1    0.0%    0.0%  LazyCompile: *Schema.eachPath C:\node\cryptodev\node_modules\mongoose\lib\schema.js:621:37
      1    0.0%    0.0%  LazyCompile: *Readable _stream_readable.js:140:18
      1    0.0%    0.0%  LazyCompile: *Query.then C:\node\cryptodev\node_modules\mongoose\lib\query.js:2974:32
      1    0.0%    0.0%  LazyCompile: *Query.setOptions C:\node\cryptodev\node_modules\mquery\lib\mquery.js:169:39
      1    0.0%    0.0%  LazyCompile: *Query.setOptions C:\node\cryptodev\node_modules\mongoose\lib\query.js:998:38
      1    0.0%    0.0%  LazyCompile: *Query._wrapCallback C:\node\cryptodev\node_modules\mquery\lib\mquery.js:2649:42
      1    0.0%    0.0%  LazyCompile: *NativeModule.require bootstrap_node.js:516:34
      1    0.0%    0.0%  LazyCompile: *NativeModule.nonInternalExists bootstrap_node.js:561:46
      1    0.0%    0.0%  LazyCompile: *NativeModule.isInternal bootstrap_node.js:565:39
      1    0.0%    0.0%  LazyCompile: *Long.toNumber C:\node\cryptodev\node_modules\bson\lib\bson\long.js:76:35
      1    0.0%    0.0%  LazyCompile: *Logger C:\node\cryptodev\node_modules\mongodb-core\lib\connection\logger.js:24:22
      1    0.0%    0.0%  LazyCompile: *Keccak C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:93:18
      1    0.0%    0.0%  LazyCompile: *Document.$__init C:\node\cryptodev\node_modules\mongoose\lib\document.js:337:38
      1    0.0%    0.0%  LazyCompile: *Document.$__buildDoc C:\node\cryptodev\node_modules\mongoose\lib\document.js:178:42
      1    0.0%    0.0%  LazyCompile: *Document C:\node\cryptodev\node_modules\mongoose\lib\document.js:47:18
      1    0.0%    0.0%  LazyCompile: *BN C:\node\cryptodev\node_modules\bn.js\lib\bn.js:21:15
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:654:24
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1377:18
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:22:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\kareem\index.js:134:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:57:55
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:818:66
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:52:64
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\fallback-provider.js:40:69
      1    0.0%    0.0%  LazyCompile: *$getMaxListeners events.js:89:26
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      1    0.0%    0.0%  Function: ~write_ _http_outgoing.js:623:16
      1    0.0%    0.0%  Function: ~write _http_outgoing.js:619:49
      1    0.0%    0.0%  Function: ~waitForAuth C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1385:25
      1    0.0%    0.0%  Function: ~validateHeader _http_outgoing.js:488:24
      1    0.0%    0.0%  Function: ~validChunk _stream_writable.js:245:20
      1    0.0%    0.0%  Function: ~utf8ToBytes C:\node\cryptodev\node_modules\ethers-utils\utf8.js:5:21
      1    0.0%    0.0%  Function: ~utf8Text string_decoder.js:198:18
      1    0.0%    0.0%  Function: ~ucmp C:\node\cryptodev\node_modules\bn.js\lib\bn.js:2765:37
      1    0.0%    0.0%  Function: ~tryStatSync fs.js:514:21
      1    0.0%    0.0%  Function: ~tryOnImmediate timers.js:746:24
      1    0.0%    0.0%  Function: ~translatePeerCertificate _tls_common.js:176:69
      1    0.0%    0.0%  Function: ~toRealPath module.js:155:20
      1    0.0%    0.0%  Function: ~toObject C:\node\cryptodev\node_modules\mongoose\lib\utils.js:337:37
      1    0.0%    0.0%  Function: ~tickOnSocket _http_client.js:614:22
      1    0.0%    0.0%  Function: ~syncWrapper C:\node\cryptodev\node_modules\kareem\index.js:231:30
      1    0.0%    0.0%  Function: ~storeHeader _http_outgoing.js:429:21
      1    0.0%    0.0%  Function: ~socketErrorListener _http_client.js:381:29
      1    0.0%    0.0%  Function: ~socket.once https.js:119:24
