Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     16    0.1%    0.2%  LazyCompile: *isArrayish C:\node\cryptodev\node_modules\ethers-utils\convert.js:20:20
     16    0.1%    0.2%  LazyCompile: *func C:\node\cryptodev\node_modules\ethers-contracts\interface.js:624:40
     16    0.1%    0.2%  LazyCompile: *emit events.js:156:44
     16    0.1%    0.2%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:110:68
     16    0.1%    0.2%  Builtin: LoadIC_Noninlined
     16    0.1%    0.2%  Builtin: HasProperty
     16    0.1%    0.2%  Builtin: FunctionPrototypeHasInstance
     15    0.1%    0.2%  LazyCompile: *arrayify C:\node\cryptodev\node_modules\ethers-utils\convert.js:35:18
     15    0.1%    0.2%  LazyCompile: *Collection.find C:\node\cryptodev\node_modules\mongodb\lib\collection.js:233:37
     15    0.1%    0.2%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:121:53
     15    0.1%    0.2%  Builtin: ArrayForEach
     14    0.0%    0.2%  LazyCompile: *lookupAndConnect net.js:1034:26
     14    0.0%    0.2%  LazyCompile: *exports.XMLHttpRequest C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:18:34
     14    0.0%    0.2%  LazyCompile: *Socket net.js:175:16
     14    0.0%    0.2%  LazyCompile: *Cursor C:\node\cryptodev\node_modules\mongodb\lib\cursor.js:101:22
     14    0.0%    0.2%  Builtin: StringToLowerCaseIntl
     13    0.0%    0.2%  Stub: CallApiGetterStub
     13    0.0%    0.2%  LazyCompile: *keccak256 C:\node\cryptodev\node_modules\ethers-utils\keccak256.js:7:19
     13    0.0%    0.2%  Function: ~Query.merge C:\node\cryptodev\node_modules\mongoose\lib\query.js:1380:33
     13    0.0%    0.2%  Function: ~Keccak.update C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:111:38
     13    0.0%    0.2%  Builtin: StrictEqual
     12    0.0%    0.2%  RegExp: ([A-F].*[a-f])|([a-f].*[A-F])
     12    0.0%    0.2%  LazyCompile: *executeFindCommand C:\node\cryptodev\node_modules\mongodb-core\lib\wireprotocol\3_2_support.js:362:34
     12    0.0%    0.2%  LazyCompile: *TLSSocket _tls_wrap.js:265:19
     12    0.0%    0.2%  LazyCompile: *Readable.read _stream_readable.js:365:35
     12    0.0%    0.2%  LazyCompile: *ConvertToString native array.js:133:25
     12    0.0%    0.2%  LazyCompile: *Collection.findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1339:40
     12    0.0%    0.2%  Function: ~handleSocketCreation_Inner _http_agent.js:331:45
     12    0.0%    0.2%  Function: ~UseSparseVariant native array.js:62:26
     12    0.0%    0.2%  Builtin: ToString
     11    0.0%    0.1%  LazyCompile: *autoEscapeStr url.js:442:23
     11    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
     11    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:452:18
     11    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-providers\etherscan-provider.js:107:70
     11    0.0%    0.1%  Builtin: PromiseResolve
     11    0.0%    0.1%  Builtin: ClassOf
     11    0.0%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     10    0.0%    0.1%  RegExp: ^(?:Connection|Transfer-Encoding|Content-Length|Date|Expect|Trailer|Upgrade)$
     10    0.0%    0.1%  LazyCompile: *nextTick internal/process/next_tick.js:245:20
     10    0.0%    0.1%  LazyCompile: *findOne C:\node\cryptodev\node_modules\mongodb\lib\collection.js:1348:23
     10    0.0%    0.1%  LazyCompile: *_extend util.js:983:17
     10    0.0%    0.1%  LazyCompile: *Promise.all.tokenIds.map C:\node\cryptodev\contract-parser.js:183:36
     10    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:842:65
     10    0.0%    0.1%  Function: ~normalizeConnectArgs _tls_wrap.js:999:30
     10    0.0%    0.1%  Function: ~b native typedarray.js:990:48
     10    0.0%    0.1%  Function: ~Promise.all.tokenIds.map C:\node\cryptodev\contract-parser.js:183:36
     10    0.0%    0.1%  Function: ~Pool.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1098:32
     10    0.0%    0.1%  Builtin: StringPrototypeCharCodeAt
     10    0.0%    0.1%  Builtin: KeyedStoreIC_Megamorphic
      9    0.0%    0.1%  LazyCompile: *clearBuffer _stream_writable.js:469:21
      9    0.0%    0.1%  LazyCompile: *addListener events.js:296:58
      9    0.0%    0.1%  LazyCompile: *_flush _http_outgoing.js:816:51
      9    0.0%    0.1%  LazyCompile: *WritableState _stream_writable.js:41:23
      9    0.0%    0.1%  LazyCompile: *Query.toBin C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:89:33
      9    0.0%    0.1%  LazyCompile: *Module.require module.js:576:36
      9    0.0%    0.1%  Function: ~deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
      9    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1230:49
      9    0.0%    0.1%  Builtin: StringPrototypeSplit
      9    0.0%    0.1%  Builtin: RegExpPrototypeTest
      8    0.0%    0.1%  Stub: StringAddStub {2}
      8    0.0%    0.1%  LazyCompile: *queryCallback C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:200:31
      8    0.0%    0.1%  LazyCompile: *nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      8    0.0%    0.1%  LazyCompile: *TLSSocket._init _tls_wrap.js:426:37
      8    0.0%    0.1%  LazyCompile: *SchemaType.castForQueryWrapper C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:1033:52
      8    0.0%    0.1%  LazyCompile: *Cursor C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:73:22
      8    0.0%    0.1%  Function: ~realpathSync fs.js:1571:40
      8    0.0%    0.1%  Function: ~isInvalidPath _http_client.js:52:23
      8    0.0%    0.1%  Function: ~handleOperationCallback C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:537:37
      8    0.0%    0.1%  Function: ~getTokenData C:\node\cryptodev\contracts\ether-naughts-ships.js:19:22
      8    0.0%    0.1%  Function: ~args.push C:\node\cryptodev\node_modules\mongodb\lib\utils.js:395:15
      8    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\interface.js:300:27
      8    0.0%    0.1%  Builtin: StringIndexOf
      8    0.0%    0.1%  Builtin: ObjectHasOwnProperty
      8    0.0%    0.1%  Builtin: HandleApiCall
      8    0.0%    0.1%  Builtin: FastCloneShallowObject
      7    0.0%    0.1%  RegExp: [\\r\\n]
      7    0.0%    0.1%  LazyCompile: *onwrite _stream_writable.js:422:17
      7    0.0%    0.1%  LazyCompile: *format url.js:566:39
      7    0.0%    0.1%  LazyCompile: *createConnection https.js:82:26
      7    0.0%    0.1%  LazyCompile: *Schema.path C:\node\cryptodev\node_modules\mongoose\lib\schema.js:410:33
      7    0.0%    0.1%  LazyCompile: *ReadableState _stream_readable.js:58:23
      7    0.0%    0.1%  LazyCompile: *Duplex _stream_duplex.js:44:16
      7    0.0%    0.1%  LazyCompile: *ClientRequest._deferToConnect _http_client.js:277:36
      7    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:549:54
      7    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-contracts\contract.js:60:24
      7    0.0%    0.1%  Function: ~value C:\node\cryptodev\node_modules\bson\lib\bson\binary.js:210:40
      7    0.0%    0.1%  Function: ~nextFunction C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:558:28
      7    0.0%    0.1%  Function: ~analyzeSchema C:\node\cryptodev\node_modules\mongoose\lib\queryhelpers.js:155:31
      7    0.0%    0.1%  Function: ~analyzePath C:\node\cryptodev\node_modules\mongoose\lib\queryhelpers.js:114:29
      7    0.0%    0.1%  Builtin: PromiseAll
      7    0.0%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      6    0.0%    0.1%  Stub: RecordWriteStub {5}
      6    0.0%    0.1%  Stub: RecordWriteStub {1}
      6    0.0%    0.1%  Stub: InternalArrayConstructorStub
      6    0.0%    0.1%  RegExp: ^[a-z0-9.+-]+:
      6    0.0%    0.1%  LazyCompile: *onceWrapper events.js:307:21
      6    0.0%    0.1%  LazyCompile: *match native string.js:12:6
      6    0.0%    0.1%  LazyCompile: *internalConnect net.js:904:25
      6    0.0%    0.1%  LazyCompile: *endSession C:\node\cryptodev\node_modules\mongodb-core\lib\sessions.js:47:13
      6    0.0%    0.1%  LazyCompile: *end _http_outgoing.js:726:45
      6    0.0%    0.1%  LazyCompile: *Writable _stream_writable.js:194:18
      6    0.0%    0.1%  LazyCompile: *Uint8Array native typedarray.js:158:31
      6    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:816:26
      6    0.0%    0.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\provider.js:720:75
      6    0.0%    0.1%  Function: ~set native typedarray.js:954:45
      6    0.0%    0.1%  Function: ~parse url.js:101:37
      6    0.0%    0.1%  Function: ~end _http_outgoing.js:726:45
      6    0.0%    0.1%  Function: ~emitLookup net.js:1087:44
      6    0.0%    0.1%  Function: ~dispatchEvent C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:589:32
      6    0.0%    0.1%  Function: ~Socket.write net.js:699:34
      6    0.0%    0.1%  Function: ~Socket._writeGeneric net.js:708:42
      6    0.0%    0.1%  Function: ~SchemaString.cast C:\node\cryptodev\node_modules\mongoose\lib\schema\string.js:407:39
      6    0.0%    0.1%  Function: ~NativeModule.require bootstrap_node.js:516:34
      6    0.0%    0.1%  Function: ~ConvertToString native array.js:133:25
      6    0.0%    0.1%  Function: ~Connection.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\connection.js:704:38
      6    0.0%    0.1%  Function: ~Collection.find C:\node\cryptodev\node_modules\mongodb\lib\collection.js:233:37
      6    0.0%    0.1%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\cursor.js:654:24
      6    0.0%    0.1%  Builtin: ResolveNativePromise
      5    0.0%    0.1%  Stub: RecordWriteStub {17}
      5    0.0%    0.1%  Stub: RecordWriteStub {16}
      5    0.0%    0.1%  Stub: JSEntryStub
      5    0.0%    0.1%  Stub: ArraySingleArgumentConstructorStub
      5    0.0%    0.1%  RegExp: ^(\\/\\/?(?!\\/)[^?\\s]*)(\\?[^\\s]*)?$
      5    0.0%    0.1%  LazyCompile: *open C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:156:23
      5    0.0%    0.1%  LazyCompile: *isConnected C:\node\cryptodev\node_modules\mongodb\lib\topologies\topology_base.js:329:14
      5    0.0%    0.1%  LazyCompile: *TLSSocket._wrapHandle _tls_wrap.js:370:43
      5    0.0%    0.1%  LazyCompile: *Query._castConditions C:\node\cryptodev\node_modules\mongoose\lib\query.js:1267:43
      5    0.0%    0.1%  LazyCompile: *Pool.write C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1098:32
      5    0.0%    0.1%  LazyCompile: *NativeCollection.(anonymous function) C:\node\cryptodev\node_modules\mongoose\lib\drivers\node-mongodb-native\collection.js:111:43
